Country,secular,inst con.,open in-groups,prosocial,interest politics,wellbeing,politic engage,individual rights,open out-groups
Italy,-0.089785694,-0.185314603,0.381722574,0.176765866,-0.11946853,0.080819245,0.467518671,0.112898657,0.165579595
Rwanda,-0.563428344,0.527804311,-0.021778661,0.041186645,0.333896288,-0.208892535,-0.376964467,-0.660670463,-0.188413061
Thailand,-0.140361139,0.068836454,0.004694049,-0.250371491,0.630650139,0.260339656,-0.455756727,-0.279864877,-0.466965531
France,0.777422727,-0.095491211,0.549385362,-0.222872591,-0.076838269,0.162204572,0.561604009,0.763284431,0.245178821
Hong Kong,0.860608242,0.225072291,-0.081042544,-0.071258946,-0.071315818,-0.194748171,-0.003025046,0.150411127,-0.106117813
Netherlands,0.763841565,8.10E-05,0.520203762,0.060238604,0.197169467,0.487347254,0.482249869,1.122744465,0.436110903
Austria,0.367549708,-0.135974415,0.415370195,0.043410035,0.050649848,0.414206878,0.26518259,0.491561887,0.145166654
Belgium,0.623856774,-0.107374239,0.663294988,-0.195528356,-0.240930779,0.345255269,0.399914753,0.582275925,0.313500763
Denmark,0.76255185,0.311544701,0.70306678,0.362994974,0.226632845,0.748038742,0.681461537,1.048096984,0.481404242
Greece,-0.105742008,-0.494420927,0.450095945,-0.232939716,0.068150693,0.018836333,0.177383558,0.250898183,0.140156836
Iceland,0.348191211,0.165525791,0.460565469,0.288526433,0.127880653,0.70189244,0.799060784,0.775471503,0.569380632
Ireland,-0.165865659,0.184117539,0.408412082,0.133369093,-0.090815585,0.672747156,0.257083776,0.023524537,0.239772676
Luxembourg,0.623565889,0.26114088,0.648466864,-0.167154115,0.037899096,0.445786509,0.514800531,0.692473639,0.299227963
Malta,-0.665255919,0.224762691,0.194457483,0.515647494,-0.057978553,0.459187475,-0.081331898,-0.612606673,-0.04757162
Portugal,-0.04387675,-0.010689593,0.353693997,0.031742061,-0.433009036,-0.115463378,-0.122742804,0.023674288,0.224593444
North Ireland,-0.030652738,-0.017112361,0.25639369,0.175110908,-0.201137031,0.534064809,0.179277013,0.0022916,0.227193087
